ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,TAXONOMY,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,OCCUPANTS_PER_ASSET,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD,DWELLINGS
CAN,Canada,Com,OT,COM5-MH-HC,1.0,295488.0,535680.0,328320.0,0.1,418.0,1159488.0,418.0,2773.8947368421054,
CAN,Canada,Com,OT,COM5-MH-LC,15.0,4035252.0,7315380.0,4483620.0,2.9000000000000004,6270.0,15834252.0,418.0,2525.399043062201,
CAN,Canada,Com,OT,COM5-MH-MC,1.0,264708.0,479880.0,294120.0,0.2,418.0,1038708.0,418.0,2484.9473684210525,
CAN,Canada,Com,OT,COM5-MH-PC,83.0,21861484.0,39631950.0,24290550.0,13.0,34694.0,85783984.0,418.0,2472.588459099556,
CAN,Canada,Com,OT,COM5-W3-HC,16.0,5318784.0,9642240.0,5909760.0,3.1,6688.0,20870784.0,418.0,3120.6315789473683,
CAN,Canada,Com,OT,COM5-W3-LC,167.0,45157269.0,81864180.0,50174820.0,31.3,69806.0,177196269.0,418.0,2538.4102942440477,
CAN,Canada,Com,OT,COM5-W3-MC,74.0,22180061.0,40209480.0,24644520.0,14.4,30932.0,87034061.0,418.0,2813.7223910513385,
CAN,Canada,Com,OT,COM5-W3-PC,698.0,189938490.0,344333430.0,211043070.0,126.60000000000001,291764.0,745314990.0,418.0,2554.5132024512964,
CAN,Canada,Com,OT,COM6-MH-HC,3.0,44088409.0,79926356.0,48987121.0,286.1,21234.0,173001886.0,7078.0,8147.3997362720165,
CAN,Canada,Com,OT,COM6-MH-LC,20.0,266823468.0,483715063.0,296470522.0,1657.3,141560.0,1047009053.0,7078.0,7396.221058208534,
CAN,Canada,Com,OT,COM6-MH-MC,4.0,58263405.0,105623719.0,64737117.0,342.9,28312.0,228624241.0,7078.0,8075.1709875671095,
CAN,Canada,Com,OT,COM6-MH-PC,105.0,1329166516.0,2409600138.0,1476851693.0,7590.5,743190.0,5215618347.0,7078.0,7017.880147741493,
CAN,Canada,Com,OT,COM6-W3-HC,8.0,124135449.0,225040876.0,137928277.0,755.7,56624.0,487104602.0,7078.0,8602.440696524442,
CAN,Canada,Com,OT,COM6-W3-LC,57.0,765814624.0,1388318911.0,850905144.0,5465.0,403446.0,3005038679.0,7078.0,7448.428486092314,
CAN,Canada,Com,OT,COM6-W3-MC,10.0,150974137.0,273695809.0,167749042.0,1078.8,70780.0,592418988.0,7078.0,8369.86419892625,
CAN,Canada,Com,OT,COM6-W3-PC,238.0,3172775972.0,5751816125.0,3525306666.0,21827.1,1684564.0,12449898763.0,7078.0,7390.576293331687,
CAN,Canada,Com,OT,COM7-MH-PC,1.0,10969308.0,19885880.0,12188120.0,0.0,12843.0,43043308.0,12843.0,3351.4994938877207,
CAN,Canada,Com,OT,COM7-W3-HC,107.0,84688976.0,153529856.0,94098944.0,9.8,67517.0,332317776.0,631.0,4921.986699646015,
CAN,Canada,Com,OT,COM7-W3-LC,989.0,686344551.0,1244251216.0,762605584.0,87.2,624059.0,2693201351.0,631.0,4315.619758708712,
CAN,Canada,Com,OT,COM7-W3-MC,354.0,267457747.0,484865296.0,297175504.0,32.5,223374.0,1049498547.0,631.0,4698.391697332724,
CAN,Canada,Com,OT,COM7-W3-PC,4750.0,3282373118.0,5950504560.0,3647083440.0,395.90000000000003,2997250.0,12879961118.0,631.0,4297.259527233297,
CAN,Canada,Com,RC,COM1-C1L-HC,30.0,13337316.0,24178750.0,14819230.0,5.1000000000000005,23670.0,52335296.0,789.0,2211.0391212505283,
CAN,Canada,Com,RC,COM1-C1L-LC,224.0,89420165.0,162106697.0,99355685.0,39.1,176736.0,350882547.0,789.0,1985.3484689027703,
CAN,Canada,Com,RC,COM1-C1L-MC,82.0,33085536.0,59979590.0,36761670.0,14.5,64698.0,129826796.0,789.0,2006.6585674982225,
CAN,Canada,Com,RC,COM1-C1L-PC,833.0,336760547.0,610501427.0,374178171.0,143.4,657237.0,1321440145.0,789.0,2010.5991369932003,
CAN,Canada,Com,RC,COM1-C1M-HC,2.0,899232.0,1630186.0,999146.0,0.4,1578.0,3528564.0,789.0,2236.0988593155894,
CAN,Canada,Com,RC,COM1-C1M-LC,16.0,6595785.0,11957275.0,7328651.0,3.2,12624.0,25881711.0,789.0,2050.1989068441067,
CAN,Canada,Com,RC,COM1-C1M-MC,6.0,2428314.0,4402204.0,2698124.0,0.9,4734.0,9528642.0,789.0,2012.809885931559,
CAN,Canada,Com,RC,COM1-C1M-PC,73.0,30049262.0,54475257.0,33388049.0,11.600000000000001,57597.0,117912568.0,789.0,2047.1998194350401,
CAN,Canada,Com,RC,COM1-C2L-HC,167.0,73438572.0,133134209.0,81598369.0,28.200000000000003,131763.0,288171150.0,789.0,2187.0415063409305,
CAN,Canada,Com,RC,COM1-C2L-LC,1087.0,437916831.0,793884235.0,486574079.0,180.70000000000002,857643.0,1718375145.0,789.0,2003.6019007908885,
CAN,Canada,Com,RC,COM1-C2L-MC,462.0,192257352.0,348536562.0,213619122.0,81.4,364518.0,754413036.0,789.0,2069.618060013497,
CAN,Canada,Com,RC,COM1-C2L-PC,4496.0,1808566103.0,3278686347.0,2009516871.0,740.1,3547344.0,7096769321.0,789.0,2000.586726576278,
CAN,Canada,Com,RC,COM1-C2M-HC,9.0,3980652.0,7216384.0,4422944.0,1.7000000000000002,7101.0,15619980.0,789.0,2199.687367976341,
CAN,Canada,Com,RC,COM1-C2M-LC,4.0,1798464.0,3260372.0,1998292.0,0.7000000000000001,3156.0,7057128.0,789.0,2236.0988593155894,
CAN,Canada,Com,RC,COM1-C2M-MC,20.0,8992320.0,16301860.0,9991460.0,3.8000000000000003,15780.0,35285640.0,789.0,2236.0988593155894,
CAN,Canada,Com,RC,COM1-C2M-PC,27.0,11941956.0,21649152.0,13268832.0,5.0,21303.0,46859940.0,789.0,2199.687367976341,
CAN,Canada,Com,RC,COM1-C3L-LC,491.0,203278368.0,368516201.0,225864713.0,84.3,387399.0,797659282.0,789.0,2059.0122380284924,
CAN,Canada,Com,RC,COM1-C3L-PC,7850.0,3017062508.0,5469526880.0,3352289624.0,1263.9,6193650.0,11838879012.0,789.0,1911.4543140151607,
CAN,Canada,Com,RC,COM1-C3M-LC,74.0,31647540.0,57372708.0,35163908.0,13.200000000000001,58386.0,124184156.0,789.0,2126.9509128900763,
CAN,Canada,Com,RC,COM1-C3M-PC,843.0,340112409.0,616577913.0,377902469.0,146.1,665127.0,1334592791.0,789.0,2006.5232519503793,
CAN,Canada,Com,RC,COM1-PC1-HC,71.0,31508004.0,57119753.0,35008873.0,12.0,56019.0,123636630.0,789.0,2207.0481443795857,
CAN,Canada,Com,RC,COM1-PC1-LC,607.0,246219427.0,446362647.0,273577027.0,104.7,478923.0,966159101.0,789.0,2017.3579072209939,
CAN,Canada,Com,RC,COM1-PC1-MC,246.0,100361268.0,181941386.0,111512426.0,43.0,194094.0,393815080.0,789.0,2028.9915195729905,
