ID_0,NAME_0,OCCUPANCY,MACRO_TAXONOMY,TAXONOMY,TAXONOMY_HAZUS,SETTLEMENT,BUILDINGS,BLDG_REPL_COST_USD,COST_CONTENTS_USD,OCCUPANTS_TOTAL,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,CARBON_BUILDINGS_TON,DWELLINGS,AVG_BUILDING_AREA_SQM,AVG_BLDG_COST_PER_AREA_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD
CAN,Canada,IND,CR-,CR+PC/LDUAL/CDN+ERL/H:1-3/IND:2,PC2L/PC/IND2,TOTAL,876.0,1358227208.0,452742419.0,0.0,1054524.0,1810969668.0,478045.0,0.0,1204.0,1288.0,,
CAN,Canada,COM,CR-,CR+PC/LDUAL/CDN+ERL/H:4-7/COM:1,PC2M/PC/COM1,TOTAL,39.0,75251839.0,18812957.0,0.0,30041.0,94064797.0,13813.0,0.0,770.0,2505.0,,
CAN,Canada,COM,CR-,CR+PC/LDUAL/CDN+ERL/H:4-7/COM:2,PC2M/PC/COM2,TOTAL,190.0,971311658.0,242827913.0,0.0,387749.0,1214139578.0,178293.0,0.0,2041.0,2505.0,,
CAN,Canada,COM,CR-,CR+PC/LDUAL/CDN+ERL/H:4-7/COM:3,PC2M/PC/COM4,TOTAL,687.0,5819313768.0,1454828502.0,0.0,2323079.0,7274142300.0,1068187.0,0.0,3381.0,2505.0,,
CAN,Canada,IND,CR-,CR+PC/LDUAL/CDN+ERL/H:4-7/IND:2,PC2M/PC/IND2,TOTAL,28.0,46810446.0,15603483.0,0.0,36344.0,62413929.0,16541.0,0.0,1298.0,1288.0,,
CAN,Canada,IND,CR-,CR+PC/LDUAL/CDN+ERL/H:4-7/IND:6,PC2M/PC/IND6,TOTAL,1.0,1516946.0,505649.0,0.0,1178.0,2022595.0,536.0,0.0,1178.0,1288.0,,
CAN,Canada,COM,CR-,CR+PC/LDUAL/CDN+ERL/H:>8/COM:3,PC2H/PC/COM4,TOTAL,22.0,1164208332.0,291052083.0,0.0,464754.0,1455260417.0,214241.0,0.0,21125.0,2505.0,,
CAN,Canada,COM,CR+,CR+PC/LWAL/CDH+ERH/H:1/COM:1,PC1/HC/COM1,TOTAL,77.0,130581646.0,32645401.0,0.0,52128.0,163227045.0,25012.0,0.0,677.0,2505.0,,
CAN,Canada,COM,CR+,CR+PC/LWAL/CDH+ERH/H:1/COM:2,PC1/HC/COM2,TOTAL,194.0,696922624.0,174230628.0,0.0,278213.0,871153258.0,133491.0,0.0,1434.0,2505.0,,
CAN,Canada,COM,CR+,CR+PC/LWAL/CDH+ERH/H:1/COM:3,PC1/HC/COM4,TOTAL,233.0,688277427.0,172069324.0,0.0,274761.0,860346849.0,131835.0,0.0,1179.0,2505.0,,
