ID_0,NAME_0,OCCUPANCY,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
JAM,Jamaica,Ind,13984.582241410062,2958423635.506222,1507619791.9065375,1542774269.3728948,0.0,0.0,9220934.035781248,6008817663.580267,659.3642825079845,651.64956611374
JAM,Jamaica,Res,895807.0,19612557802.44588,18925162869.883263,29403335011.4728,1010557.0,2961159.4035581,88261742.23095766,67941055683.80195,98.52763176773307,769.7678967861087
MTQ,Martinique,Com,4260.0,1150525252.8,965840281.56,782530527.24,0.0,0.0,2326944.0,2898896061.6,546.230985915493,1245.7953700647715
MTQ,Martinique,Ind,1177.0,123986658.6,69245360.1,54953079.3,0.0,0.0,568115.1122716132,248185098.0,482.68063914325677,436.85706054822185
MTQ,Martinique,Res,99967.0,2463878169.522,2711906378.811,3064821772.887,104856.0,384398.0,25470582.679444443,8240606321.22,254.78990746390753,323.53426794081264
MSR,Montserrat,Com,480.0,25008480.0,26814412.8,20438611.2,0.0,0.0,94071.0,72261504.0,195.98125,768.1591989029563
MSR,Montserrat,Ind,34.0,3321731.6999999997,2486295.0,1627611.2999999998,0.0,0.0,17855.031528520496,7435638.0,525.1479861329558,416.4449661218902
MSR,Montserrat,Res,1928.0,29020747.769999996,39479949.054,35704803.456,1997.0,4867.0,497253.6541666667,104205500.27999999,257.91164635200556,209.56206034249269
NIC,Nicaragua,Com,111737.19815002178,3672729509.743562,3408887513.3667927,2585631819.7172627,0.0,0.0,14271611.143720787,9667248834.436134,127.72479872422866,677.3761376401796
NIC,Nicaragua,Ind,32240.488916049395,2951554953.432575,2011190812.0885584,1699596124.4544816,0.0,0.0,11596217.872045565,6662341891.047888,359.67872268441124,574.5271401901192
NIC,Nicaragua,Res,1259821.0,18871155711.830914,27533726988.84196,31464215341.903736,1341053.0,6412798.93182217,97709245.39641526,77869098042.57661,77.55803832164669,796.9470824040717
PAN,Panama,Com,41331.35328461956,7618233402.738489,6102541268.575506,4981899993.805994,0.0,0.0,19426943.345603958,18702674660.713875,470.02921031461153,962.7183406053441
PAN,Panama,Ind,8888.499426018447,7132978266.352365,3640168508.6598277,3409115092.698553,0.0,0.0,11698355.65428766,14182261867.710745,1316.1226764603475,1212.3295176542772
PAN,Panama,Res,947231.0,26139126273.710285,27780099541.608887,38290015764.44561,1154475.0,4314782.0,124004970.5570643,92209241579.76477,130.91312526412702,743.5931089337436
PRI,Puerto Rico,Com,5147.6,10160939250.0,7361040114.0,1702107116.0,,0.0,6111316.362592413,19224086310.0,1187.2166373829382,3145.6539261608714
PRI,Puerto Rico,Ind,945.3000000000001,2130886196.0,1395154094.0,259832972.0,,0.0,1525464.0149133059,3785873235.0,1613.7353378962296,2481.7846884543887
PRI,Puerto Rico,Res,1398079.4,139533535926.0,224609288345.0,54460692835.0,,3725789.0,276311474.1595783,418603517049.0,197.63646768529622,1514.9697214790424
KNA,Saint Kitts and Nevis,Com,883.0,92211336.7539267,68927734.08376963,80980408.7434555,0.0,0.0,232650.0,242119479.5811518,263.4767836919592,1040.7026846385206
