ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,TAXONOMY,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,OCCUPANTS_PER_ASSET,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
VIR,US Virgin Islands,Ind,RC,IND1-C1L-MC,2.9000000000000004,5967906,3353925,624633,0.0,2548.8211575420096,9946464,878.903847428279,3902.378152569954
VIR,US Virgin Islands,Ind,RC,IND1-C1L-PC,0.8999999999999999,1896955,1066080,198546,0.0,810.1585374266989,3161581,900.1761526963322,3902.4226172350272
VIR,US Virgin Islands,Ind,RC,IND1-C2L-MC,4.8999999999999995,10228344,5748259,1070554,0.0,4368.461485076956,17047158,891.5227520565217,3902.325351438847
VIR,US Virgin Islands,Ind,RC,IND1-C2L-PC,1.8000000000000003,3784989,2127144,396158,0.0,1616.502534946369,6308294,898.0569638590938,3902.433719480243
VIR,US Virgin Islands,Ind,RC,IND1-PC1-MC,2.9000000000000004,5967906,3353925,624633,0.0,2548.8211575420096,9946464,878.903847428279,3902.378152569954
VIR,US Virgin Islands,Ind,RC,IND1-PC1-PC,0.8999999999999999,1896955,1066080,198546,0.0,810.1585374266989,3161581,900.1761526963322,3902.4226172350272
VIR,US Virgin Islands,Ind,RC,IND3-C1L-MC,0.2,291520,163832,30512,0.0,91.80160604629192,485864,459.0080302314596,5292.543572222451
VIR,US Virgin Islands,Ind,RC,IND3-C2L-MC,0.2,481008,270323,50345,0.0,151.47283892300425,801676,757.3641946150212,5292.5396110619085
VIR,US Virgin Islands,Ind,RC,IND3-C2L-PC,0.1,119899,67383,12549,0.0,37.75720358998583,199831,377.57203589985824,5292.52648501226
VIR,US Virgin Islands,Ind,RC,IND3-PC1-MC,0.2,291520,163832,30512,0.0,91.80160604629192,485864,459.0080302314596,5292.543572222451
VIR,US Virgin Islands,Ind,S,IND1-S3-MC,63.800000000000004,132705698,74579635,13889683,0.0,56677.93037007836,221175016,888.3688145780307,3902.312850095945
VIR,US Virgin Islands,Ind,S,IND1-S3-PC,21.4,44235232,24859878,4629895,0.0,18892.643670231115,73725004,882.83381636594,3902.312735414975
VIR,US Virgin Islands,Ind,S,IND2-S3-MC,6.7,5708745,3208225,597500,0.0,2703.0717191176022,9514470,403.4435401668063,3519.8733103189466
VIR,US Virgin Islands,Ind,S,IND2-S3-PC,2.1,1866200,1048786,195325,0.0,883.621440775639,3110310,420.77211465506616,3519.9575932310827
VIR,US Virgin Islands,Ind,S,IND3-S3-MC,1.7000000000000002,3279600,1843110,343260,0.0,1032.768068020784,5465970,607.51062824752,5292.543572222451
VIR,US Virgin Islands,Ind,S,IND3-S3-PC,0.6,1093200,614370,114420,0.0,344.2560226735947,1821990,573.7600377893245,5292.543572222451
