L4,POP,CITY,TIER
803227,63652,Chikkaballapura,U3
801549,63388,Dhubri,U3
802568,63377,Borsad,U3
802925,63177,Gadwal,U3
802974,63103,Piduguralla,U3
800795,63005,Vrindavan,U3
800952,63003,Lucknow,U3
801363,62927,Sheikhpura,U3
803094,62882,Sirsi,U3
803021,62865,Nipani ,U3
800502,62721,Bari,U3
800462,62699,Nokha,U3
803364,62579,Chengalpattu,U3
802978,62550,Vinukonda,U3
803016,62253,Nagari,U3
800671,62226,Sherkot,U3
802402,62163,Raghogarh -Vijaypur,U3
803657,62153,Chidambaram,U3
800391,62090,Narwana,U3
802509,62052,Okha,U3
800843,62039,Ujhani,U3
800909,61990,Laharpur,U3
800541,61969,Kuchaman City,U3
800607,61949,Nimbahera,U3
800663,61946,Kiratpur,U3
802455,61867,Sidhpur,U3
801606,61797,Diphu,U3
803473,61793,Attur,U3
803006,61749,Rayadurg,U3
801756,61712,Jhargram,U3
307623,61661,Kharia,U3
627436,61614,Cheruvannur,U3
801382,61470,Barh,U3
801025,61449,Mauranipur,U3
800887,61444,Tilhar,U3
803810,61440,Ramanathapuram,U3
802641,61376,Shahade,U3
802104,61277,Dabra,U3
800704,61243,Hasanpur,U3
804029,61133,Udumalaipettai ,U3
800975,60986,Chhibramau,U3
802924,60949,Wanaparthy,U3
802634,60821,Bardoli,U3
801383,60678,Mokameh,U3
803327,60607,Poonamallee,U3
801823,60590,Kendujhar,U3
802721,60565,Bhadravati,U3
803649,60323,Panruti,U3
803050,60242,Ilkal,U3
803281,60190,Kodungallur,U3
800897,60172,Gola Gokaran Nath,U3
803311,60161,Nedumangad,U3
800784,60074,Kosi Kalan,U3
802367,59966,Narsimhapur,U3
802983,59913,Ponnur,U3
800084,59866,Kathua,U3
800756,59858,Jahangirabad,U3
801577,59814,North Lakhimpur,U3
801378,59803,Masaurhi,U3
629173,59790,Nerkunram,U3
802663,59672,Shegaon,U3
802327,59654,Mandideep,U3
802660,59609,Pachora,U3
803159,59543,Tiptur,U3
803523,59523,Gobichettipalayam,U3
